año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,2,2,2,4,4,1,1050000
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,2,2,2,6,4,1,554077
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,2,2,2,6,5,1,2050000
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,2,2,2,6,6,2,8163697
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,1,1,6,6,1,6658000
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,1,2,3,4,1,1255732
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,1,2,4,5,1,682220
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,1,2,6,4,2,3163500
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,1,2,6,5,3,5750267
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,1,2,6,6,5,21575941
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,1,3,6,5,2,4092549
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,2,1,4,5,1,1890000
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,2,2,6,4,3,2598638
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,2,2,6,5,5,7872050
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,2,2,6,6,8,27930700
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,2,3,6,5,1,1000000
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,2,3,6,6,1,3240000
2019,1,9,Ciudad de México,3,Coyoacán,2,2,1,2,1,1,1,1,2,26958
2019,1,9,Ciudad de México,3,Coyoacán,2,2,1,2,1,1,2,1,1,19006
2019,1,9,Ciudad de México,3,Coyoacán,2,2,1,2,1,1,3,1,1,44098
2019,1,9,Ciudad de México,3,Coyoacán,2,2,1,2,1,2,1,1,1,12006
2019,1,9,Ciudad de México,3,Coyoacán,2,2,1,2,1,2,2,1,2,75855
2019,1,9,Ciudad de México,3,Coyoacán,2,2,1,2,1,2,6,1,1,54885
2019,1,9,Ciudad de México,3,Coyoacán,2,2,1,2,2,2,1,1,1,12006
2019,1,9,Ciudad de México,3,Coyoacán,2,2,1,2,2,2,3,1,2,96876
2019,1,9,Ciudad de México,3,Coyoacán,2,2,1,2,2,2,4,1,1,41865
2019,1,9,Ciudad de México,3,Coyoacán,2,2,1,2,2,2,6,1,1,54885
2019,1,9,Ciudad de México,3,Coyoacán,2,2,1,1,1,2,2,1,1,43859
